,id,movie,production_budget,domestic_gross,worldwide_gross,overall_profitability,start_year,genres
5041,42,The Lunchbox,1700000,4231500,12231500,10531500,2013,"['Drama', 'Romance']"
5042,43,Grace Unplugged,1700000,2507159,2507159,807159,2013,"['Drama', 'Music']"
5046,47,Yes,1700000,396035,661221,-1038779,2016,"['Adventure', 'Biography', 'Documentary']"
5047,48,Braid,1660000,0,80745,-1579255,2018,"['Horror', 'Mystery', 'Thriller']"
5052,53,The Conversation,1600000,4420000,4420000,2820000,2018,['Action']
5053,54,N-Secure,1600000,2595644,2595644,995644,2010,"['Crime', 'Drama', 'Thriller']"
5055,56,Out of the Dark,1600000,419428,419428,-1180572,2014,"['Horror', 'Thriller']"
5059,60,Two Night Stand,1600000,15600,868081,-731919,2014,"['Comedy', 'Romance']"
5062,63,Insidious,1500000,54009150,99870886,98370886,2010,"['Horror', 'Mystery', 'Thriller']"
5063,64,Moonlight,1500000,27854931,65245512,63745512,2016,['Drama']
5064,65,Cabin Fever,1500000,21158188,30351664,28851664,2016,['Horror']
5065,66,Waitress,1500000,19097550,22217183,20717183,2013,['Drama']
5069,70,Unsane,1500000,7690044,14244931,12744931,2018,"['Drama', 'Horror', 'Mystery']"
5073,74,Spellbound,1500000,7000000,7000000,5500000,2011,"['Comedy', 'Horror', 'Romance']"
5076,77,The To Do List,1500000,3491669,4128828,2628828,2013,"['Comedy', 'Romance']"
5077,78,The Gatekeepers,1500000,2408553,2592308,1092308,2012,"['Documentary', 'History', 'War']"
5083,84,The Lords of Salem,1500000,1165881,1541131,41131,2012,"['Horror', 'Thriller']"
5084,85,31,1500000,779820,922727,-577273,2016,"['Horror', 'Thriller']"
5086,87,Unsullied,1500000,510957,510957,-989043,2014,"['Action', 'Horror', 'Thriller']"
5093,94,Amigo,1500000,184705,184705,-1315295,2010,"['Drama', 'War']"
5098,99,The Salon,1500000,139084,139084,-1360916,2015,['Documentary']
5101,2,Road Hard,1500000,113169,113169,-1386831,2015,['Comedy']
5106,7,Housebound,1500000,0,236863,-1263137,2014,"['Comedy', 'Horror', 'Mystery']"
5107,8,Teefa in Trouble,1500000,0,98806,-1401194,2018,"['Action', 'Comedy', 'Crime']"
5109,10,Closer to the Moon,1500000,0,5396,-1494604,2014,"['Comedy', 'Crime', 'Drama']"
5111,12,The Lion of Judah,1500000,0,0,-1500000,2011,['Animation']
5112,13,Once Upon a Time in Queens,1500000,0,0,-1500000,2013,"['Comedy', 'Drama']"
5114,15,Mutant World,1500000,0,0,-1500000,2014,['Sci-Fi']
5115,16,#Horror,1500000,0,0,-1500000,2015,"['Crime', 'Drama', 'Horror']"
5116,17,Checkmate,1500000,0,0,-1500000,2010,"['Drama', 'Mystery']"
5117,18,Snow White and the Seven Dwarfs,1488000,184925486,184925486,183437486,2017,"['Animation', 'Family']"
5120,21,Mustang,1400000,845464,5552584,4152584,2015,['Drama']
5122,23,La chambre bleue,1400000,260441,1945420,545420,2015,['Documentary']
5124,25,Eddie: The Sleepwalking Cannibal,1400000,1632,1632,-1398368,2012,"['Comedy', 'Horror']"
5125,26,My Girlfriend's Boyfriend,1400000,0,0,-1400000,2010,"['Comedy', 'Romance']"
5127,28,House at the End of the Drive,1400000,0,0,-1400000,2014,"['Horror', 'Thriller']"
